[2022-07-10 23:03:40,892] {taskinstance.py:896} INFO - Dependencies all met for <TaskInstance: assignment.task_one 2022-07-09T00:00:00+00:00 [queued]>
[2022-07-10 23:03:41,038] {taskinstance.py:896} INFO - Dependencies all met for <TaskInstance: assignment.task_one 2022-07-09T00:00:00+00:00 [queued]>
[2022-07-10 23:03:41,042] {taskinstance.py:1087} INFO - 
--------------------------------------------------------------------------------
[2022-07-10 23:03:41,045] {taskinstance.py:1088} INFO - Starting attempt 2 of 2
[2022-07-10 23:03:41,050] {taskinstance.py:1089} INFO - 
--------------------------------------------------------------------------------
[2022-07-10 23:03:41,125] {taskinstance.py:1107} INFO - Executing <Task(PythonOperator): task_one> on 2022-07-09T00:00:00+00:00
[2022-07-10 23:03:41,134] {standard_task_runner.py:52} INFO - Started process 3073 to run task
[2022-07-10 23:03:41,146] {standard_task_runner.py:76} INFO - Running: ['***', 'tasks', 'run', 'assignment', 'task_one', '2022-07-09T00:00:00+00:00', '--job-id', '4', '--pool', 'default_pool', '--raw', '--subdir', 'DAGS_FOLDER/assignment.py', '--cfg-path', '/tmp/tmp4f1p82e7', '--error-file', '/tmp/tmpgez45f_5']
[2022-07-10 23:03:41,150] {standard_task_runner.py:77} INFO - Job 4: Subtask task_one
[2022-07-10 23:03:41,479] {logging_mixin.py:104} INFO - Running <TaskInstance: assignment.task_one 2022-07-09T00:00:00+00:00 [running]> on host c259055947c2
[2022-07-10 23:03:41,977] {taskinstance.py:1302} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=assignment
AIRFLOW_CTX_TASK_ID=task_one
AIRFLOW_CTX_EXECUTION_DATE=2022-07-09T00:00:00+00:00
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-07-09T00:00:00+00:00
[2022-07-10 23:03:43,061] {logging_mixin.py:104} INFO - wrote file: m1a.html
[2022-07-10 23:03:43,064] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:03:58,569] {logging_mixin.py:104} INFO - wrote file: m1b.html
[2022-07-10 23:03:58,575] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:04:14,265] {logging_mixin.py:104} INFO - wrote file: m1c.html
[2022-07-10 23:04:14,271] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:04:29,889] {logging_mixin.py:104} INFO - wrote file: m2a.html
[2022-07-10 23:04:29,898] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:04:45,620] {logging_mixin.py:104} INFO - wrote file: m2b.html
[2022-07-10 23:04:45,627] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:05:01,256] {logging_mixin.py:104} INFO - wrote file: m2c.html
[2022-07-10 23:05:01,261] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:05:16,951] {logging_mixin.py:104} INFO - wrote file: m3a.html
[2022-07-10 23:05:16,957] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:05:32,496] {logging_mixin.py:104} INFO - wrote file: m3b.html
[2022-07-10 23:05:32,501] {logging_mixin.py:104} INFO - --- reading... ---
[2022-07-10 23:05:48,162] {logging_mixin.py:104} INFO - wrote file: m4a.html
[2022-07-10 23:05:48,166] {logging_mixin.py:104} INFO - --- reading... ---
